125EX;Costa d'Avorio;extra_ue;cittadinanza_doti;Costa d'Avorio;;
126EX;Egitto;extra_ue;cittadinanza_doti;Egitto;;
127EX;Eritrea;extra_ue;cittadinanza_doti;Eritrea;;
128EX;Etiopia;extra_ue;cittadinanza_doti;Etiopia;;
129EX;Gabon;extra_ue;cittadinanza_doti;Gabon;;
130EX;Gambia;extra_ue;cittadinanza_doti;Gambia;;
131EX;Ghana;extra_ue;cittadinanza_doti;Ghana;;
132EX;Gibuti;extra_ue;cittadinanza_doti;Gibuti;;
133EX;Guinea;extra_ue;cittadinanza_doti;Guinea;;
134EX;Guinea Bissau;extra_ue;cittadinanza_doti;Guinea Bissau;;
135EX;Guinea Equatoriale;extra_ue;cittadinanza_doti;Guinea Equatoriale;;
136EX;Kenya;extra_ue;cittadinanza_doti;Kenya;;
137EX;Lesotho;extra_ue;cittadinanza_doti;Lesotho;;
138EX;Liberia;extra_ue;cittadinanza_doti;Liberia;;
139EX;Libia;extra_ue;cittadinanza_doti;Libia;;
140EX;Madagascar;extra_ue;cittadinanza_doti;Madagascar;;
141EX;Malawi;extra_ue;cittadinanza_doti;Malawi;;
142EX;Mali;extra_ue;cittadinanza_doti;Mali;;
143EX;Marocco;extra_ue;cittadinanza_doti;Marocco;;
144EX;Mauritania;extra_ue;cittadinanza_doti;Mauritania;;
145EX;Mauritius;extra_ue;cittadinanza_doti;Mauritius;;
146EX;Mozambico;extra_ue;cittadinanza_doti;Mozambico;;
147EX;Namibia;extra_ue;cittadinanza_doti;Namibia;;
148EX;Niger;extra_ue;cittadinanza_doti;Niger;;
149EX;Nigeria;extra_ue;cittadinanza_doti;Nigeria;;
150EX;Ruanda;extra_ue;cittadinanza_doti;Ruanda;;
151EX;São Tomé e Principe;extra_ue;cittadinanza_doti;São Tomé e Principe;;
152EX;Senegal;extra_ue;cittadinanza_doti;Senegal;;
153EX;Seychelles;extra_ue;cittadinanza_doti;Seychelles;;
154EX;Sierra Leone;extra_ue;cittadinanza_doti;Sierra Leone;;
155EX;Somalia;extra_ue;cittadinanza_doti;Somalia;;
156EX;Sud Africa;extra_ue;cittadinanza_doti;Sud Africa;;
157EX;Sudan;extra_ue;cittadinanza_doti;Sudan;;
158EX;Swaziland;extra_ue;cittadinanza_doti;Swaziland;;
159EX;Tanzania;extra_ue;cittadinanza_doti;Tanzania;;
160EX;Togo;extra_ue;cittadinanza_doti;Togo;;
161EX;Tunisia;extra_ue;cittadinanza_doti;Tunisia;;
162EX;Uganda;extra_ue;cittadinanza_doti;Uganda;;
163EX;Zambia;extra_ue;cittadinanza_doti;Zambia;;
164EX;Zimbabwe (ex Rhodesia);extra_ue;cittadinanza_doti;Zimbabwe (ex Rhodesia);;
165EX;Antigua e Barbuda;extra_ue;cittadinanza_doti;Antigua e Barbuda;;
166EX;Argentina;extra_ue;cittadinanza_doti;Argentina;;
167EX;Bahamas;extra_ue;cittadinanza_doti;Bahamas;;
168EX;Barbados;extra_ue;cittadinanza_doti;Barbados;;
169EX;Belize;extra_ue;cittadinanza_doti;Belize;;
170EX;Bolivia;extra_ue;cittadinanza_doti;Bolivia;;
171EX;Brasile;extra_ue;cittadinanza_doti;Brasile;;
172EX;Canada;extra_ue;cittadinanza_doti;Canada;;
173EX;Cile;extra_ue;cittadinanza_doti;Cile;;
174EX;Colombia;extra_ue;cittadinanza_doti;Colombia;;
175EX;Costa Rica;extra_ue;cittadinanza_doti;Costa Rica;;
176EX;Cuba;extra_ue;cittadinanza_doti;Cuba;;
177EX;Dominica;extra_ue;cittadinanza_doti;Dominica;;
178EX;Dominicana, Repubblica;extra_ue;cittadinanza_doti;Dominicana, Repubblica;;
179EX;Turchia;extra_ue;cittadinanza_doti;Turchia;;
180EX;Ecuador;extra_ue;cittadinanza_doti;Ecuador;;
181EX;El Salvador;extra_ue;cittadinanza_doti;El Salvador;;
182EX;Giamaica;extra_ue;cittadinanza_doti;Giamaica;;
183EX;Grenada;extra_ue;cittadinanza_doti;Grenada;;
184EX;Guatemala;extra_ue;cittadinanza_doti;Guatemala;;
185EX;Guyana;extra_ue;cittadinanza_doti;Guyana;;
186EX;Haiti;extra_ue;cittadinanza_doti;Haiti;;
187EX;Honduras;extra_ue;cittadinanza_doti;Honduras;;
188EX;Messico;extra_ue;cittadinanza_doti;Messico;;
189EX;Nicaragua;extra_ue;cittadinanza_doti;Nicaragua;;
190EX;Panama;extra_ue;cittadinanza_doti;Panama;;
191EX;Paraguay;extra_ue;cittadinanza_doti;Paraguay;;
192EX;Perù;extra_ue;cittadinanza_doti;Perù;;
193EX;Saint Kitts e Nevis;extra_ue;cittadinanza_doti;Saint Kitts e Nevis;;
194EX;Saint Lucia;extra_ue;cittadinanza_doti;Saint Lucia;;
195EX;Saint Vincent e Grenadine;extra_ue;cittadinanza_doti;Saint Vincent e Grenadine;;
196EX;Stati Uniti d'America;extra_ue;cittadinanza_doti;Stati Uniti d'America;;
197UE;Italia;ue;cittadinanza_doti;Italia;;
198EX;Sud Sudan, Repubblica del;extra_ue;cittadinanza_doti;Sud Sudan, Repubblica del;;
199EX;Riconosciuti non cittadini (lettoni);extra_ue;cittadinanza_doti;Riconosciuti non cittadini (lettoni);;
200EX;Antille Olandesi, Isole;extra_ue;cittadinanza_doti;Antille Olandesi, Isole;;
201EX;Jersey, Isole;extra_ue;cittadinanza_doti;Jersey, Isole;;
202EX;Man, Isola di;extra_ue;cittadinanza_doti;Man, Isola di;;
